PlayerComplete 1007;PlayersDbPedia 3665;FALSE
PlayerComplete 10253;PlayersDbPedia 3424;TRUE
PlayerComplete 10309;PlayersDbPedia 1094;TRUE
PlayerComplete 10359;PlayersDbPedia 2084;FALSE
PlayerComplete 10390;PlayersDbPedia 4508;FALSE
PlayerComplete 10395;PlayersDbPedia 3027;TRUE
PlayerComplete 10408;PlayersDbPedia 3365;FALSE
PlayerComplete 10535;PlayersDbPedia 1083;FALSE
PlayerComplete 10639;PlayersDbPedia 4179;FALSE
PlayerComplete 10780;PlayersDbPedia 1673;FALSE
PlayerComplete 1091;PlayersDbPedia 4151;FALSE
PlayerComplete 10957;PlayersDbPedia 1055;FALSE
PlayerComplete 10962;PlayersDbPedia 1038;FALSE
PlayerComplete 11068;PlayersDbPedia 4259;FALSE
PlayerComplete 1110;PlayersDbPedia 4162;TRUE
PlayerComplete 11469;PlayersDbPedia 1956;FALSE
PlayerComplete 11773;PlayersDbPedia 1062;FALSE
PlayerComplete 11773;PlayersDbPedia 1375;FALSE
PlayerComplete 11773;PlayersDbPedia 1688;FALSE
PlayerComplete 12148;PlayersDbPedia 3473;FALSE
PlayerComplete 12197;PlayersDbPedia 2299;FALSE
PlayerComplete 12397;PlayersDbPedia 1045;FALSE
PlayerComplete 1275;PlayersDbPedia 1691;TRUE
PlayerComplete 12755;PlayersDbPedia 2051;FALSE
PlayerComplete 12766;PlayersDbPedia 1000;FALSE
PlayerComplete 12862;PlayersDbPedia 1989;FALSE
PlayerComplete 1287;PlayersDbPedia 1298;TRUE
PlayerComplete 12886;PlayersDbPedia 4714;FALSE
PlayerComplete 12897;PlayersDbPedia 3385;FALSE
PlayerComplete 13259;PlayersDbPedia 1098;FALSE
PlayerComplete 13581;PlayersDbPedia 2658;FALSE
PlayerComplete 13614;PlayersDbPedia 3012;FALSE
PlayerComplete 13621;PlayersDbPedia 1096;FALSE
PlayerComplete 13722;PlayersDbPedia 1690;FALSE
PlayerComplete 13794;PlayersDbPedia 3168;FALSE
PlayerComplete 13848;PlayersDbPedia 3472;FALSE
PlayerComplete 1385;PlayersDbPedia 1719;TRUE
PlayerComplete 14037;PlayersDbPedia 1018;FALSE
PlayerComplete 14121;PlayersDbPedia 2659;FALSE
PlayerComplete 14133;PlayersDbPedia 3438;TRUE
PlayerComplete 14540;PlayersDbPedia 2050;FALSE
PlayerComplete 14701;PlayersDbPedia 2821;FALSE
PlayerComplete 1491;PlayersDbPedia 1689;FALSE
PlayerComplete 14979;PlayersDbPedia 1476;TRUE
